from	statement	to	shortcut
1	Culms woody; leaves pseudopetiolate	2	
1	Culms usually herbaceous; if woody the leaves not pseudopetiolate	5	
2	Culms forming climbing vines	Mullerochloa	Mullerochloa moreheadiana
2	Culms not forming climbing vines	3	
3	Auricles with bristles to 10 mm long	Neololeba	Neololeba atra
3	Auricles without bristles	4	
4	Culms cylindrical in cross section	Bambusa	
4	Culms with an internodal groove on alternate sides	Phyllostachys	
5	Leaves spirally arranged	Micraira	
5	Leaves arranged in two rows	6	
6	Spikelets morphologically or functionally unisexual	7	
6	Spikelets bisexual	20	
7	Spikelets with 1 floret, or more than 2 florets	8	
7	Spikelets with 2 florets	12	
8	Spikelets with 1 floret; male and female spikelets on same plant	9	
8	Spikelets with more than 2 florets; male and female spikelets on different plants	10	
9	Lemma asymmetrical with a ±lateral orifice	Leptaspis	Leptaspis banksii
9	Lemma pyriform with a terminal orifice	Scrotochloa	
10	Short grasses with a compact raceme	Distichlis	Distichlis distichophylla
10	Tall reed-like grasses with a plumose panicle	11	
11	Leaf blades with only the midrib prominent and strongly sclerified	Cortaderia	
11	 Leaf blades with several wide strongly sclerified veins (including midrib)	Austroderia	
12	Upper lemma membranous, thinner than glumes	13	
12	Upper lemma hardened, thicker than glumes	16	
13	Male and female spikelets in separate inflorescences	Zea	Zea mays subsp. mexicana
13	Male and female spikelets in different parts of the same inflorescence	14	
14	Inflorescence consisting of a female spikelet enclosed in a rigid shell, from which a raceme of male spikelets emerges apically	Coix	
14	Inflorescence spike-like with female spikelets basal and male apical	15	
15	Internode broader than and ± enclosing female spikelet	Chionachne	
15	Internode narrower  than and ± enclosed by female spikelet	Tripsacum	
16	Plants monoecioeus, i.e. with male and female spikelets on the same plant	17	
16	Plants dioecious i.e. with male and female spikelets on different plants	18	
17	Inflorescence a simple raceme, with 1-2 female spikelets at the base, the upper spikelets male	Thuarea	Thuarea involuta
17	Inflorescence a spike-like panicle with racemes of female spikelets below and solitary male spikelets above	Hygrochloa	
18	Inflorescence a contracted, spike-like panicle, not spatheate	Cenchrus	
18	Inflorescences clustered together in dense, umbel-like spatheate heads	19	
19	Female heads with long stiff spines; inhabits coastal dunes	Spinifex	
19	Female inflorescences bracteate but not spiny; inhabits desert sand dunes	Zygochloa	Zygochloa paradoxa
20	Spikelets with 1 to many florets, if 2-flowered both florets or lower one bisexual	21	
20	Spikelets 2-flowered, lower floret male or barren, upper bisexual or female	171	
21	Inflorescence a solitary bilateral spike or raceme; spikelets usually with the broad side facing the axis	22	
21	Inflorescence a panicle or a unilateral or multilateral spike or raceme, rarely a bilateral spike but then the spikelets edgewise on to the axis	38	
22	Lemmas 3-5-nerved, hyaline to membranous	23	
22	Lemmas 5-10-nerved, hardened at maturity	26	
23	Lemmas awned	Psilurus	Psilurus incurvus
23	Lemmas not awned	24	
24	Spikelets compressed laterally	Parapholis	
24	Spikelets compressed dorsiventrally	25	
25	Lemmas with lateral nerves extending to the apex	Lepturus	
25	Lemmas with very short lateral nerves	Hainardia	Hainardia cylindrica
26	Rachilla terminated by a fertile floret	Tetrarrhena	
26	Rachilla prolonged beyond the uppermost fertile floret	27	
27	Spikelets in groups of more than 2 at each rachis node	28	
27	Spikelets solitary at each rachis node	30	
28	Spikelet 4-5-flowered, in groups of 2-4 (-7)	Leymus	
28	Spikelet 1-flowered, in groups of 2 or 3	29	
29	Spikelets in pairs at each rachis node	Taeniatherum	Taeniatherum caput-medusae
29	Spikelets in 3s at each rachis node	Hordeum	
30	Annuals	31	
30	Perennials	34	
31	Glumes not keeled	Brachypodium	
31	Glumes strongly keeled	32	
32	Glumes subulate	Secale	Secale cereale
32	Glumes not subulate	33	
33	Lemmas with nerves converging upwards	Eremopyrum	
33	Lemmas with nerves not converging upwards	Triticum	Triticum aestivum
34	Rachis fragile, smooth	Thinopyrum	
34	Rachis tough, scabrous	35	
35	Plant with long creeping rhizomes	Elytrigia	
35	Plant tufted, or with short rhizomes	36	
36	Leaf blades ± flat; glumes ± scabrous on nerves	Anthosachne	
36	Leaf blades usually convolute or involute; glumes smooth	37	
37	Rachis internodes concave; glumes subacute to pointed	Australopyrum	
37	Rachis internodes nearly flat; glumes truncate	Thinopyrum	
38	Fertile lemmas deeply or distinctly lobed	39	
38	Fertile lemmas entire, dentate or slightly lobed	42	
39	Spikelets 1-flowered	Amphipogon	
39	Spikelets 2-or more-flowered, rarely 1-flowered	40	
40	Lemmas 9-lobed	Enneapogon	
40	Lemmas 3-lobed	41	
41	Inflorescence a 1-sided raceme	Astrebla	
41	Inflorescence a panicle or spike	Triodia	
42	Leaf blades hard, woody, needle-like	Triodia	
42	Leaf blades not hard, woody, needle-like	43	
43	Leaf blades with transverse veins between main veins	44	
43	Leaf blades without transverse veins	45	
44	Glumes more or less equal; upper glume 7-nerved; lemmas awned	Lophatherum	Lophatherum gracile
44	Glumes very unequal; upper glume 3-5-nerved; lemmas mucronate	Centotheca	
45	Tall reed-like plants	46	
45	Plants not tall and reed-like	47	
46	Lemmas hairy; rachilla not hairy	Arundo	
46	Lemmas not hairy; rachilla hairy	Phragmites	
47	Spikelets with 2 or more bisexual florets or if only one, with rachilla extension or sterile florets (empty lemmas) above it	48	
47	Spikelets with 1 bisexual floret, with or without male or sterile florets (empty lemmas) below it	132	
48	Spikelets with 3 or more florets or with 1or 2 florets and a rachilla extended beyond the upper floret	49	
48	Spikelets with 2 florets, without a rachilla extension	122	
49	Inflorescence racemose or spicate, or digitate or non-digitate	50	
49	Inflorescence a panicle	75	
50	Inflorescence digitate or subdigitate	51	
50	Inflorescence racemose or spicate	62	
51	Spikelet with at least 3 fertile florets	52	
51	Spikelet with 1 (rarely 2) fertile florets	55	
52	Axis of each inflorescence branch ending in a bristle; spikelet-bearing axis disarticulating	Dactyloctenium	
52	Axis of each inflorescence branch ending in a spikelet; spikelet-bearing axis not disarticulating	53	
53	Spikelets 2-5; lemma 5-7-nerved; leaves mostly basal, setaceous	Cyperochloa	
53	Spikelets many; lemma 3-nerved; leaves not basally aggregated or setaceous	54	
54	Lemmas mucronate to shortly awned; upper glume 1-nerved	Acrachne	
54	Lemmas muticous; upper glumes 3-7-nerved	Eleusine	
55	Spikelet with 1 floret; lemmas unawned	56	
55	Spikelet with 2 or more florets; lemmas awned	57	
56	Glumes shorter than floret	Cynodon	
56	Glumes longer than floret	Brachyachne	
57	Lowest lemma dorsally compressed (lying on front or back when placed on a flat surface)	58	
57	Lowest lemma laterally compressed (lying on the side when placed on a flat surface)	59	
58	Glumes unequal, shorter than florets	Enteropogon	
58	Glumes subequal, longer than florets	Austrochloris	
59	Inflorescence with more than 40 branches	Eustachys	
59	Inflorescence with less than 20 branches	60	
60	Awn of lowest lemma less than 2 mm long	×Cynochloris	
60	Awn of lowest lemma more than 3 mm long	61	
61	Lemmas very broad, wing-like	Oxychloris	Oxychloris scariosa
61	Lemmas not very broad, not wing-like	Chloris	
62	Spikelets unilateral (borne on one side of the inflorescence axis)	63	
62	Spikelets bilateral or multilateral (borne on opposite sides or all round the inflorescence axis)	70	
63	Spikelet with many fertile florets	64	
63	Spikelet with one fertile floret	66	
64	Lower glume 5-nerved; lemma 7-nerved	Tribolium	
64	Lower glume 1-nerved; lemma 1-3-nerved	65	
65	Lemma mucronate to shortly awned; spikelet rachilla and callus not hairy	Tripogon	Tripogon loliiformis
65	Lemma awnless; spikelet rachilla and callus hairy	Eragrostiella	
66	One glume only developed	67	
66	Both glumes well developed	68	
67	Spikelet with one floret; lemma 3-nerved	Nardus	Nardus stricta
67	Spikelet with many florets; lemma 3-nerved	Lolium	
68	Spikelets falling entire; spikelets 6-18 mm long	Spartina	
68	Spikelets fragmenting above glumes; spikelets less than 5.5 mm long	69	
69	Spikelets shortly pedicellate	Mibora	
69	Spikelets sessile	Microchloa	Microchloa indica
70	Spikelets disarticulating above glumes; rachilla extending beyond upper floret	71	
70	Spikelets falling with glumes; rachilla terminated by a floret	73	
71	Spikelets sessile, partially embedded in the rachis	Gaudinia	
71	Spikelets pedicelled, not embedded in the rachis	72	
72	Lemmas awned; glumes not keeled	Vulpia	
72	Lemmas awnless; glumes keeled	Catapodium	
73	Inflorescence a true spike; spikelets sessile, sunken in hollows along the axis	Pholiurus	
73	Inflorescence a spike-like raceme or spike-like panicle; spikelets at least shortly pedicellate and not sunken in hollows	74	
74	Spikelets burr-like with hooked spines	Tragus	Tragus australianus
74	Spikelets not burr-like	Zoysia	
75	Glumes usually shorter than lowest floret and with the upper florets distinctly exserted; lemmas awnless or with a straight or curved awn from an entire or bifid apex, or several-awned or lobed	76	
75	Glumes (or the longer one) at least as long as or longer than the lowest floret, often as long as the spikelet and enclosing the florets; lemmas awnless or more often awned from the back or from the sinus of a 2-lobed tip, the awn usually geniculate, rarely the awn straight or curved from the tip	106	
76	Lemmas 1-3-nerved	77	
76	Lemmas 5-many nerved	88	
77	Lemmas 3-awned	Triraphis	Triraphis mollis
77	Lemmas 1-awned or without awns	78	
78	Lemmas notched, toothed or lobed	79	
78	Lemmas entire	83	
79	Spikelets borne in leaf-sheath axils	Psammagrostis	Psammagrostis wiseana
79	Spikelets not borne in leaf-sheath axils	80	
80	Lemma base often indurate, sometimes 5-nerved	Disakisperma	
80	Lemma base soft and 3-nerved	81	
81	Ligule apex acute to attenuate	Diplachne	
81	Ligule apex usually trunate to obtuse	82	
82	Panicle branches arranged in racemes along rachis; ligule apex erose or entire but never ciliate	Dinebra	
82	Panicle branches digitate to sub-digitate inserted alongthe rachis usually with two or more branches per node; ligule apex ciliate	Leptochloa	
83	Lemmas awned	84	
83	Lemmas not awned	85	
84	Spikelets in globose clusters; palea winged	Elytrophorus	
84	Spikelets in dense to loose panicles; palea not winged	Ectrosia	
85	Lemmas with winged keels	Heterachne	
85	Lemmas without winged keels	86	
86	Ligule membranous	Sphenopus	Sphenopus divaricatus
86	Ligule a fringe of hairs	87	
87	Lemmas 1-nerved	Thellungia	Thellungia advena
87	Lemmas 3-nerved	Eragrostis	
88	Ovary hairy at apex	89	
88	Ovary glabrous at apex	91	
89	Leaf sheath margins joined	Bromus	
89	Leaf sheath margins free	90	
90	Leaf blades 7-24 mm wide; lemmas bilobed	Dryopoa	
90	Leaf blades 2-3 mm wide; lemmas 3-lobed	Notochloe	
91	Spikelets dimorphous, with bisexual spikelets surrounded by sterile ones	92	
91	Spikelets not dimorphous	93	
92	Spikelets disarticulating above the glumes; spikelet-bearing axes persistent	Cynosurus	
92	Spikelets disarticulating with the glumes; spikelet bearing axes disarticulating	Lamarckia	
93	Inflorescence a contracted panicle or a panicle of racemes	94	
93	Inflorescence an open panicle	98	
94	Glumes more or less equal	95	
94	Glumes very unequal	97	
95	Glumes not keeled	Melica	
95	Glumes keeled	96	
96	Leaf blades up to 3 mm long and basal, if present	Spartochloa	Spartochloa scirpoidea
96	Leaf blades well developed and not mainly basal	Catapodium	
97	Glumes very dissimilar; lemmas awned	Vulpia	
97	Glumes similar; lemmas awnless	Sclerochloa	Sclerochloa dura
98	Spikelets almost as wide as long	Briza	
98	Spikelets up to half as wide as long	99	
99	Lemmas ± rounded or flattened on back, at least below	100	
99	Lemmas keeled throughout	101	
100	Lemmas 7-9-nerved; leaf sheath margins joined	Glyceria	
100	Lemmas 5-nerved; leaf sheath margins free	Puccinellia	
101	Leaves not basally aggregated; lemmas firmer than glumes, awned	102	
101	Leaves mostly basal; lemmas similar in texture to glumes, awnless	103	
102	Lemmas keeled; palea thinner than lemma	Dactylis	
102	Lemmas not keeled; palea with similar texture to lemma	Festuca	
103	Lemma awned	Hookerochloa	
103	Lemma unawned	104	
104	Sheath of upper culm leaf with margins joined only at the nodal band; blades 4–15 mm wide, flat	Sylvipoa	Sylvipoa queenslandica
104	Sheath of upper culm leaf with margins fused ?1 mm or more above the nodal band; blades mostly <5 mm wide, flat to inrolled	105	
105	Uppermost culm sheath margins fused 1–3% of the length	Saxipoa	
105	Uppermost culm sheath margins fused 25–35% of the length	Poa	
106	Ligule membranous	107	
106	Ligule a fringe of hairs, ciliate membrane or ciliate at margins	116	
107	Lemmas 3-nerved	Avellinia	
107	Lemmas 5-9-nerved	108	
108	Lower floret male	Arrhenatherum	
108	Lower floret bisexual	109	
109	Glumes more than 14 mm long	Avena	
109	Glumes less than 10 mm long	110	
110	Annuals	111	
110	Perennials	113	
