from	statement	to	shortcut
1	Aquatic plants, floating free on or near the water surface, not rooting in substrate	2	
1	Land or aquatic plants, if aquatic and with floating leaves then rooting in substrate	3	
2	Plant consisting of small (less than 1 cm long) flat or flattened ovoid leaf or thallus, with or without simple roots from undersurface; plants readily reproducing vegetatively by lateral buds; flowers produced in small pits on upper surface, microscopic and rarely observed	Araceae	
2	Plants conspicuous, with leaves c. 5 cm long or more, the petioles much inflated and spongy, roots abundant, feathery; flowers conspicuous (c. 5 cm diam.), mauve, produced in spikes	Pontederiaceae	
3	Marine aquatics, or aquatics of non-marine habitats with leaves permanently submerged, but inflorescence sometimes emergent from water	4	
3	Terrestrial or semi-aquatic plants, or aquatics with leaves floating or emergent from water	12	
4	Plants of marine or brackish habitats	5	
4	Plants of fresh water	10	
5	Leaves ligulate	6	
5	Leaves without ligules	8	
6	Plants of brackish habitats (including estuaries, rarely extending to the intertidal zone); leaves 1 mm wide or less; flowers unisexual, solitary or clustered in axils	Potamogetonaceae	
6	Marine plants of deep waters and rock-pools; leaves at least 4 mm wide	7	
7	Leaf blade and sheath shed leaving a circular scar; flowers unisexual, enclosed within leaf-sheaths	Cymodoceaceae	Amphibolis
7	Leaf blade shed but sheath persistent and fibrous; flowers bisexual, in several terminal spikes	Posidoniaceae	Posidonia
8	Leaves elliptic to ovate, c. 1 cm wide or more; flowers with perianth (males with 3 segments, females with 6)	Hydrocharitaceae	
8	Leaves narrow linear, to 1 mm wide; flowers without perianth	9	
9	Flowers bisexual, borne at the end of a long, spirally coiled peduncle	Ruppiaceae	
9	Flowers unisexual, in short spikes, remaining enclosed in sheathing leaf-bases	Zosteraceae	
10	Flowers bisexual, in emergent spikes; perianth segments 4	Potamogetonaceae	
10	Flowers unisexual, remaining submerged; perianth segments 0, 3 or 6	11	
11	Leaves ovate to linear, mostly much more than 1 mm wide, but if ever less, then with finely toothed margins	Hydrocharitaceae	
11	Leaves narrow-linear, less than 1 mm wide, with entire margins	Potamogetonaceae	
12	Flowers lacking perianth, packed in thickish spike, subtended and partially enclosed by a tubular bract (spathe), margins overlapping or connate at base; apical part of spike male only or with a sterile appendix, lower part of spike female or bisexual; fleshy usually rhizomatous herb, usually near swamps or watercourses	Araceae	
12	Flowers with a perianth or if perianth lacking, flowers not arranged in spatheate spikes	13	
13	Flowers unisexual	14	
13	Flowers bisexual	24	
14	Flowers inconspicuous, often minute, subtended (and often enclosed by) paired or solitary, overlapping bracts or scales, in heads or spikelets; perianth absent or of 1–8 scales or bristles, usually concealed within bracts	15	
14	Flowers conspicuous (but not always coloured), or if inconspicuous at least with distinct perianth parts	20	
15	Male and female flowers small, mixed in spherical heads 2–8 mm diam., lacking conspicuous bracts; mostly marsh or aquatic plants	Eriocaulaceae	Eriocaulon
15	Flowers in spikelets surrounded by glume-like bracts	16	
