subkey	from	statement	to
	1	Bark on trunk all or mostly smooth; shed annually.  'Gums'.	2
	1	Bark rough and persistent; extending at least halfway up the trunk: 'Roughbarks' and 'half barks'.	4
	2	Valves of fruits exserted.	3
	2	Valves of fruits enclosed or flush with the disc; not exserted.	"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"
	3	"Calyptra 1 and half to 4 times as long as hypanthium. Bark typically white, 	smooth and sometimes glossy, with orange-brown blotches or streaks.  Adult leaves isobilateral."	Group 1 - Redgums
	3	"Calyptra about as long as hypanthium, or less. Bark white to creamy-yellow, often with bluish, greenish, cream-brown or grey streaks or blotches. Adult leaves isobilateral or dorsiventral."	"Group 2 - Blue gums, White gums, Grey gums"
	4	"Bark pale grey to black; thick, tough and very hard; deeply fissured; difficult to remove from trunk; often impregnated with abundant kino."	Group 4 - Ironbarks
	4	"Bark grey or brown, rarely black; not noticeably thick; soft to firm but not hard; flaky, scaly, fibrous or stringy with shallow to medium fissures; not difficult to remove from trunk; kino absent or present in modest amounts."	5
	5	"Bark flaky, scaly or shortly-fibrous, usually forming a tessellated pattern."	6
	5	"Bark stringy, fibrous, or long fibrous-flaky; not noticeably tessellated."	"Group 7 - Stringybarks, Mahoganies, Blackbutts and Tallowwoods"
	6	Bark corky-flaky to scaly; brown; persistent to the smallest branches. Fruits ~10 mm diameter (except _E. trachyphloia_). Leaves dorsiventral. Inflorescence compound.	Group 5 - Bloodwoods
	6	Bark shortly fibrous-flaky; grey or brown; persistence variable. Fruits < 10 mm diameter.  Leaves isobilateral (except _E. rummeryi_). Inflorescence simple or compound.	Group 6 - Boxes
Group 1 - Redgums	1	"Disc ascending almost vertically, ± annular, not smoothly grading to the valves."	2
Group 1 - Redgums	1	"Disc ascending, incurved; often smoothly grading to the valves, the fruit and valves thus appearing ± ovoid or globose."	4
Group 1 - Redgums	2	"Calyptra long-cylindrical, sometimes constricted near middle, terminating in a rounded or beaked dome."	Eucalyptus bancroftii
Group 1 - Redgums	2	Calyptra ± conical.	3
Group 1 - Redgums	3	"Juvenile leaves narrow, pendulous; mostly < 1.2 cm wide. Largest fruit up to 7 mm diameter.  Shortest peduncle < 9 mm long."	Eucalyptus seeana
Group 1 - Redgums	3	"Juvenile leaves broad-lanceolate to ovate, mostly 1.2-4 cm wide. Largest fruit up to 9 mm diameter.  Shortest peduncle > 9 mm long."	Eucalyptus interstans
Group 1 - Redgums	4	"Buds, twigs and juvenile leaves glaucous. Fruits 7-10 x 7-10 mm."	Eucalyptus glaucina
Group 1 - Redgums	4	Buds and twigs not glaucous. Fruits 4-6 x 4-8 mm.	5
Group 1 - Redgums	5	"Umbels 7- to rarely 11-flowered.  Juvenile leaves glossy- green; broad lanceolate to ovate, mostly < 6cm wide."	Eucalyptus tereticornis
Group 1 - Redgums	5	"Umbels 11-20-flowered. Juvenile leaves dull green; ovate to orbicular, 5-12 cm wide."	6
Group 1 - Redgums	6	Buds and fruits pedicellate.	Eucalyptus amplifolia subsp. amplifolia
Group 1 - Redgums	6	Buds and fruits consistently sessile.	Eucalyptus amplifolia subsp. sessiliflora
"Group 2 - Blue gums, White gums, Grey gums"	1	Adult leaves paler on the undersurface - (dorsiventral).	2
"Group 2 - Blue gums, White gums, Grey gums"	1	Adult leaves similar on both surfaces - (isobilateral).	6
"Group 2 - Blue gums, White gums, Grey gums"	2	"Bark granular, with dark grey matt blotches. No rough bark."	3
"Group 2 - Blue gums, White gums, Grey gums"	2	"Bark smooth, evenly coloured or with greenish or bluish or creamy-brown streaks. Short stocking of rough bark typically persistent at base of trunk."	4
"Group 2 - Blue gums, White gums, Grey gums"	3	Fruits 3-5 mm diameter. Disc ± flat or weakly domed.	Eucalyptus propinqua
"Group 2 - Blue gums, White gums, Grey gums"	3	Fruits 5-9 mm diameter. Disc ascending.	Eucalyptus biturbinata
"Group 2 - Blue gums, White gums, Grey gums"	4	"Valves incurved; twigs, buds and young fruits, mostly glaucous."	Eucalyptus grandis
"Group 2 - Blue gums, White gums, Grey gums"	4	"Valves almost erect or outcurved; twigs, buds and fruits not glaucous."	5
"Group 2 - Blue gums, White gums, Grey gums"	5	"Juvenile leaves broad-lanceolate. Valves narrow, often strongly outcurved."	Eucalyptus saligna
"Group 2 - Blue gums, White gums, Grey gums"	5	"Juvenile leaves ovate to orbicular. Valves barely exserted; broad triangular, ± erect."	Eucalyptus brunnea
"Group 2 - Blue gums, White gums, Grey gums"	6	Buds and twigs strongly glaucous; calyptra  much longer than hypanthium.	Eucalyptus glaucina
"Group 2 - Blue gums, White gums, Grey gums"	6	Buds and twigs not glaucous or slightly glaucous; calyptra about as long as hypanthium.	7
"Group 2 - Blue gums, White gums, Grey gums"	7	"Juvenile leaves strongly glaucous. Disc narrow, flat to slightly convex. Fruits 3-5 mm diameter."	Eucalyptus dorrigoensis
"Group 2 - Blue gums, White gums, Grey gums"	7	"Juvenile leaves not strongly glaucous. Disc prominent, sometimes broad, flat to ascending. Fruits 5-8 mm diameter."	8
"Group 2 - Blue gums, White gums, Grey gums"	8	"Juvenile leaves ovate, orbicular or cordate. Disc flat to slightly ascending."	Eucalyptus dunnii
"Group 2 - Blue gums, White gums, Grey gums"	8	Juvenile leaves lanceolate to broad-lanceolate. Disc domed or ascending.	Eucalyptus nobilis
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	1	"Small trees of mallee habit, up to 6 m tall, with several smooth stems arising from a woody mass (lignotuber) at ground level."	2
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	1	Larger trees of woodland or forest form.	4
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	2	Smooth bark with conspicuous insect scribbles. Broadest leaves exceeding 2 cm wide.	Eucalyptus signata
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	2	Bark with no conspicuous scribbles. Broadest leaves less than 2 cm  wide.	3
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	3	Adult leaves narrow-lanceolate. Peduncles terete. In southern part of region only.	Eucalyptus serpentinicola
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	3	Adult leaves lanceolate to broad-lanceolate. Peduncles flattened. Northern part of region only.	Eucalyptus microcodon
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	4	"Fruits papery or fragile, deforming under moderate pressure."	Eucalyptus tessellaris
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	4	"Mature fruits woody, not easily deformed."	5
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	5	"Inflorescence compound. Fruits 9-18 mm diameter, robust. Smooth white bark mottled or dimpled with pink or grey spots."	6
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	5	Inflorescence a simple umbel. Fruits 4-9 mm diameter.	7
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	6	Adult leaves 12-20 x 1-4 cm. Fruits 9-12 mm diameter.	Eucalyptus maculata
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	6	Adult leaves 20-30 x 3-4 cm. Fruits up to 18 mm diameter.	Eucalyptus henryi
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	7	Adult leaves paler on undersurface (dorsiventral).	8
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	7	Adult leaves similar on both surfaces (isobilateral).	9
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	8	Juvenile leaves broad-lanceolate. Valves narrow.	Eucalyptus saligna
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	8	Juvenile leaves ovate to orbicular. Valves broad at base.	Eucalyptus brunnea
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	9	Smooth bark with conspicuous insect scribbles. Inflorescence typically with 11 flowers or more.	Eucalyptus signata
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	9	Smooth bark without conspicuous insect scribbles. Inflorescence typically 7-flowered.	10
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	10	"Fruits mostly 7-9 mm diameter. Disc conspicuous, about 2 mm wide."	Eucalyptus oreades
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	10	"Fruits 4-7 mm diameter. Disc narrow or inconspicuous, less than 1.5 mm wide."	11
"Group 3 - Spotted gums, Scribbly gum and Miscellaneous species"	11	"Fruits 4-5 mm diameter. Valves 4. Smooth bark white, short sock of rough bark."	Eucalyptus dorrigoensis
