from	statement	to	subkey
1	Leaves opposite (over most of mature tree)	2	
1	Leaves alternate	3	
2	Flowers without a cap; fruits ribbed and with sepal teeth on the rim	Angophora	
2	Flowers with a cap; fruits sometimes ribbed but without sepal teeth	Eucalyptus - Group 1	
3	Flowers in branching clusters (corymbs) and fruits more or less urn-shaped	Corymbia	
3	Flowers and fruits not as above	4	
4	Flowers and fruits in (4–)7s	5	
4	Most flowers and fruits not in 7s	6	
5	Common flower stalk (peduncle) flattened	Eucalyptus - Group 2	
5	Common flower stalk cylindrical or angled	Eucalyptus - Group 3	
6	Flowers and fruits in 1s or 3s (occasionally 3–7)	Eucalyptus - Group 4	
6	Flowers and fruits more than 7	Eucalyptus - Group 5	
1	Fruits and flowers not in 3s	2	Eucalyptus - Group 1
1	Fruits and flowers in 3s	5	Eucalyptus - Group 1
2	Fruits and flowers in 7s (mallee 2–3 m tall, bark smooth throughout)	Eucalyptus kruseana	Eucalyptus - Group 1
2	Fruits and flowers not in 7s	3	Eucalyptus - Group 1
3	Fruits solitary, massive	Eucalyptus macrocarpa	Eucalyptus - Group 1
3	Fruits and flowers mostly more than 7 per cluster	4	Eucalyptus - Group 1
4	Bark smooth; leaves stalkless to fused at the base, edges not wavy, upper and lower surfaces of the same colour; fruits 7–10 mm long	Eucalyptus risdonii	Eucalyptus - Group 1
4	Bark rough; leaf faces mostly of different shades, edges wavy-toothed; fruits 3–4 mm long	Eucalyptus crenulata	Eucalyptus - Group 1
5	Leaves with wavy-toothed margins	Eucalyptus cordata	Eucalyptus - Group 1
5	Leaf margins not wavy-toothed (entire)	6	Eucalyptus - Group 1
6	Fruits more than 1 cm long	7	Eucalyptus - Group 1
6	Fruits less than 1 cm long	8	Eucalyptus - Group 1
7	Fruits 1.2–1.8 cm long; peduncle 0.5–1 cm long	Eucalyptus tetragona	Eucalyptus - Group 1
7	Fruits 2–2.5 cm long; peduncle 1–2.5 cm long	Eucalyptus preissiana	Eucalyptus - Group 1
8	Bark fibrous; buds diamond-shaped	Eucalyptus cinerea	Eucalyptus - Group 1
8	Bark smooth or the trunk with a ‘sock’ peeling in strips at the base; buds cylindrical, ovoid or club-shaped	9	Eucalyptus - Group 1
9	Leaf pairs strongly fused together at the base (perfoliate); common flower and fruit stalk 2–5 mm long	Eucalyptus perriniana	Eucalyptus - Group 1
9	Leaf pairs hardly fused together (amplexicaul); common flower and fruit stalk 5–8 mm long	Eucalyptus pulverulenta	Eucalyptus - Group 1
1	Individual fruits distinctly stalked	2	Eucalyptus - Group 2
1	Individual fruits stalkless or very shortly stalked	7	Eucalyptus - Group 2
2	Flower cap long, cylindrical, horned	3	Eucalyptus - Group 2
2	Flower cap conical, or beaked, or both	6	Eucalyptus - Group 2
3	Fruit bell-shaped with a flared rim	4	Eucalyptus - Group 2
3	Fruit cup-shaped to almost spherical	5	Eucalyptus - Group 2
4	Bark smooth, peeling in curling plates; lateral veins just visible	Eucalyptus astringens	Eucalyptus - Group 2
4	Bark rough, at least forming a ‘sock’ at the base of the trunk; lateral veins conspicuous	Eucalyptus occidentalis	Eucalyptus - Group 2
5	Fruit length 8–15 mm; common flower stalk 1.5–3.6 cm long	Eucalyptus eremophila	Eucalyptus - Group 2
5	Fruit length 4–7 mm; common flower stalk 0.4–1.5 cm long	Eucalyptus spathulata	Eucalyptus - Group 2
6	Trunk fluted; fruit 4–6 mm long, valves protruding; flower cap not beaked	Eucalyptus salubris	Eucalyptus - Group 2
6	Trunk not fluted; fruit 5–10 mm long, valves not protruding; flower cap beaked	Eucalyptus cypellocarpa	Eucalyptus - Group 2
7	Leaf faces different shades of green	8	Eucalyptus - Group 2
7	Leaf faces the same shade of green	9	Eucalyptus - Group 2
8	Bark smooth except at base; fruit valves protruding, upright or curved back	Eucalyptus saligna	Eucalyptus - Group 2
8	Bark rough over most of trunk; fruit valves enclosed	Eucalyptus botryoides	Eucalyptus - Group 2
9	Fruit bell-shaped	10	Eucalyptus - Group 2
9	Fruit cup- to barrel-shaped	12	Eucalyptus - Group 2
10	Flower cap horned and warty; fruit 1.8–3.5 cm long	Eucalyptus megacornuta	Eucalyptus - Group 2
10	Flower cap rounded to cylindrical, not warty; fruit 0.8–2.8 cm long	11	Eucalyptus - Group 2
11	Bark rough throughout; leaf stalk 1.5–2 cm long; flowers cream; seed black	Eucalyptus gomphocephala	Eucalyptus - Group 2
11	Bark smooth; leaf stalk 2–3.5 cm long; flowers greenish yellow; seed red-brown	Eucalyptus stricklandii	Eucalyptus - Group 2
12	Leaves more or less round; operculum long, cylindrical, horned; common flower stalk 2.2–5 cm long	Eucalyptus platypus	Eucalyptus - Group 2
12	Leaves elliptic to lanceolate; operculum more or less conical; common flower stalk less than 3 cm long	13	Eucalyptus - Group 2
13	Flower cap short, rounded, red; fruit 2-ribbed, valves 5(–6)	Eucalyptus nutans	Eucalyptus - Group 2
13	Flower cap conical or beaked, mostly green; fruit not 2-ribbed, valves 3–4(–5)	14	Eucalyptus - Group 2
14	Leaves mostly less than 10 cm long, 1–2 cm wide; fruits 8–10 mm wide	Eucalyptus campaspe	Eucalyptus - Group 2
14	Leaves mostly more than 10 cm long, mostly 2–3 cm wide; fruit 7–8 mm wide	Eucalyptus kitsoniana	Eucalyptus - Group 2
1	Flower clusters terminal, compound; leaves ovate,with a small terminal point	Eucalyptus polyanthemos	Eucalyptus - Group 3
1	Flower clusters axillary; simple	2	Eucalyptus - Group 3
2	Leaves distinctly different shades of green on either face	Eucalyptus muelleriana	Eucalyptus - Group 3
2	Leaves more or less the same green on both faces	3	Eucalyptus - Group 3
3	Fruits waxy-white,1–1.5 cm long; flowers distinctive yellow-green	Eucalyptus woodwardii	Eucalyptus - Group 3
3	Fruits not waxy-white, mostly less than 1 cm long; flowers not as above	4	Eucalyptus - Group 3
4	Base of flowers and fruits not corrugated but the cap corrugated and with a slightly curved point	Eucalyptus torquata	Eucalyptus - Group 3
4	Base of flowers and fruits and cap not corrugated	5	Eucalyptus - Group 3
5	Bark ironbark; individual fruits on long slender stalks	Eucalyptus sideroxylon	Eucalyptus - Group 3
5	Bark not ironbark; individual fruits not on long slender stalks	6	Eucalyptus - Group 3
6	Fruit valves strongly protruding	Eucalyptus bancroftii	Eucalyptus - Group 3
6	Fruit valves not or only slightly protruding	7	Eucalyptus - Group 3
7	Leaves glossy	8	Eucalyptus - Group 3
7	Leaves dull	12	Eucalyptus - Group 3
8	Fruits with flared rims and 4–5 valves	9	Eucalyptus - Group 3
8	Fruits without flared rims, valves 3–4	10	Eucalyptus - Group 3
9	Leaves not hooked at the tip; fruits cup-shaped; common flower stalk 1.5–3.3 cm long	Eucalyptus dielsii	Eucalyptus - Group 3
9	Leaves hooked at the tip; fruits obconical; common flower stalk curved, 1–1.3 cm long	Eucalyptus erythronema	Eucalyptus - Group 3
10	Leaves narrow-lanceolate; operculum cylindrical to horned	Eucalyptus sargentii	Eucalyptus - Group 3
