from	statement	to	subkey
1	Plants with mostly flowering material	2	
1	Plants with mostly fruiting material	5	
2	Hairs simple or 0	3	
2	At least some hairs branched	4	
3	Cauline leaves 0 or at least some basally lobed to clasping	Brassicaceae Group 1	
3	"Cauline leaves always present, not basally lobed or clasping"	Brassicaceae Group 2	
4	"Ovary, young fruit linear"	Brassicaceae Group 3	
4	"Ovary, young fruit variously shaped, not linear"	Brassicaceae Group 4	
5	Fruit silicle	6	
5	Fruit silique	7	
6	Hairs simple or 0	Brassicaceae Group 5	
6	At least some hairs branched	Brassicaceae Group 6	
7	At least some hairs branched	Brassicaceae Group 7	
7	Hairs simple or 0	Brassicaceae Group 8	
1	Plant scapose; cauline leaves 0	2	Brassicaceae Group 1
1	Plant not scapose; cauline leaves present	5	Brassicaceae Group 1
2	All or at least early flowers 1 from basal rosette	Idahoa	Brassicaceae Group 1
2	All flowers in racemes	3	Brassicaceae Group 1
3	Flowers yellow	Diplotaxis	Brassicaceae Group 1
3	"Flowers white, lavender, or purple"	4	Brassicaceae Group 1
4	Perennial herb; petals 4&ndash;5.5(7) mm	Cardamine	Brassicaceae Group 1
4	Annual; petals 1.2&ndash;1.5 mm	Subularia	Brassicaceae Group 1
5	"Cauline leaves petioled; plant aquatic, rooting from proximal nodes"	Nasturtium	Brassicaceae Group 1
5	"Cauline leaves sessile; plant terrestrial, not rooting from proximal nodes"	6	Brassicaceae Group 1
6	Stamens 2	Lepidium	Brassicaceae Group 1
6	Stamens 6(4)	7	Brassicaceae Group 1
7	All stamens well exserted beyond petals; ovary stalk above receptacle distinct in flower	8	Brassicaceae Group 1
7	At least some stamens included; ovary stalk above receptacle 0 in flower	9	Brassicaceae Group 1
8	"Sepals spreading to reflexed; petals yellow to white, 1.3&ndash;2 cm"	Stanleya	Brassicaceae Group 1
8	"Sepals generally &plusmn; erect; petals purple, lavender, or white, 0.6&ndash;1.2(1.6) cm"	Thelypodium	Brassicaceae Group 1
9	Stamens in 3 pairs of unequal length; petals crinkled or channeled	10	Brassicaceae Group 1
9	"Stamens 4 long, 2 short; petals generally not crinkled, not channeled"	11	Brassicaceae Group 1
10	Fruit cylindric; seed wings 0	Caulanthus	Brassicaceae Group 1
10	Fruit flattened; seeds generally winged	Streptanthus	Brassicaceae Group 1
11	"Ovary, young fruit with 1&ndash;2(4) ovules or seeds"	12	Brassicaceae Group 1
11	"Ovary, young fruit with (4)6&ndash;300 ovules or seeds"	14	Brassicaceae Group 1
12	Young fruit not reflexed	Lepidium	Brassicaceae Group 1
12	Young fruit reflexed	13	Brassicaceae Group 1
13	Petals yellow	Isatis	Brassicaceae Group 1
13	Petals white or &plusmn; purple-tinged	Thysanocarpus	Brassicaceae Group 1
14	Petals yellow	15	Brassicaceae Group 1
14	"Petals white, lavender, pink, purple, or violet"	19	Brassicaceae Group 1
15	Young fruit reflexed	Caulanthus	Brassicaceae Group 1
15	Young fruit spreading to erect	16	Brassicaceae Group 1
16	"Petals (6)8&ndash;30 mm, clawed"	Brassica	Brassicaceae Group 1
16	"Petals 0.5&ndash;9(12) mm (or 0), clawed or not, narrowed to base"	17	Brassicaceae Group 1
17	Cauline leaves cordate-clasping	Conringia	Brassicaceae Group 1
17	Cauline leaves basally lobed	18	Brassicaceae Group 1
18	"Ovary, young fruit linear; stem angular distally"	Barbarea	Brassicaceae Group 1
18	"Ovary, young fruit spheric to ovoid or oblong; stem generally not angular distally"	Rorippa	Brassicaceae Group 1
19	"Ovary, young fruit ovate, round, or cordate"	20	Brassicaceae Group 1
19	"Ovary, young fruit linear"	21	Brassicaceae Group 1
20	Perennial herb; seeds smooth	Noccaea	Brassicaceae Group 1
20	Annual; seeds striate	Thlaspi	Brassicaceae Group 1
21	"Petals not clawed, gradually narrowed to base"	Boechera	Brassicaceae Group 1
21	Petals clawed	22	Brassicaceae Group 1
22	Petals 15&ndash;30 mm	Brassica	Brassicaceae Group 1
22	Petal 4.5&ndash;12(15)	23	Brassicaceae Group 1
23	Young fruit reflexed	Caulanthus	Brassicaceae Group 1
23	Young fruit erect to spreading	Thelypodium	Brassicaceae Group 1
1	Flowers bilateral	2	Brassicaceae Group 2
1	Flowers radial	3	Brassicaceae Group 2
2	"Ovary, young fruit linear; ovules or seeds many"	Streptanthus	Brassicaceae Group 2
2	"Ovary, young fruit ovate to obcordate; ovules or seeds 2"	Iberis	Brassicaceae Group 2
3	Stamens 2 or 4	4	Brassicaceae Group 2
3	Stamens 6	6	Brassicaceae Group 2
4	Ovary linear	Cardamine	Brassicaceae Group 2
4	"Ovary broader, not linear"	5	Brassicaceae Group 2
5	"Ovary, young fruit with 10&ndash;24 ovules or seeds"	Hornungia	Brassicaceae Group 2
5	"Ovary, young fruit with 2&ndash;4 ovules or seeds"	Lepidium	Brassicaceae Group 2
6	"Ovary, young fruit ovate to ovoid, obovate, round, spheric, oblong, or elliptic, occasionally of 2 segments of such shapes"	7	Brassicaceae Group 2
6	"Ovary, young fruit linear (narrowly lanceolate or awl-shaped)"	15	Brassicaceae Group 2
7	"Petals 15&ndash;30 mm, purple to lavender (white); style, stalk above receptacle well developed"	Lunaria	Brassicaceae Group 2
7	"Petals 0.5&ndash;12(15) mm, yellow to cream or white (lavender); style, stalk above receptacle generally 0"	8	Brassicaceae Group 2
8	"Ovary, young fruit with 24&ndash;80 ovules or seeds"	Rorippa	Brassicaceae Group 2
8	"Ovary, young fruit with 1&ndash;12(14) ovules or seeds"	9	Brassicaceae Group 2
9	"Ovary, young fruit 2-segmented"	10	Brassicaceae Group 2
9	"Ovary, young fruit unsegmented"	12	Brassicaceae Group 2
10	"Petals cream or pale yellow, veins dark brown or purple; ovules 4&ndash;6"	Carrichtera	Brassicaceae Group 2
10	"Petals white, lavender, or yellow, dark veins 0; ovules 1 or 2(4)"	11	Brassicaceae Group 2
11	Plant stiff-hairy below; style distinct; petals yellow	Rapistrum	Brassicaceae Group 2
11	Plant glabrous; style 0; petals white to lavender	Cakile	Brassicaceae Group 2
12	Ovules or seeds 1&ndash;2	13	Brassicaceae Group 2
12	Ovules or seeds 6&ndash;14	14	Brassicaceae Group 2
13	Young fruit erect to spreading	Lepidium	Brassicaceae Group 2
13	Young fruit reflexed	Thysanocarpus	Brassicaceae Group 2
14	"Perennial herb, roots fleshy; stem 5&ndash;12(20) dm; basal leaves 1.5&ndash;12 dm"	Armoracia	Brassicaceae Group 2
14	"Biennial or perennial herb, fleshy roots 0; stem (0.1)0.5&ndash;3(4) dm; basal leaves 0.1&ndash;1 dm"	Cochlearia	Brassicaceae Group 2
15	Cauline leaves compound	16	Brassicaceae Group 2
15	"Cauline leaves simple, occasionally shallowly divided"	17	Brassicaceae Group 2
16	"Plant aquatic, rooting from proximal stem nodes"	Nasturtium	Brassicaceae Group 2
16	"Plant terrestrial, not rooting from proximal stem nodes"	Cardamine	Brassicaceae Group 2
17	Plant with multicellular stalked glands	Chorispora	Brassicaceae Group 2
17	Glands 0	18	Brassicaceae Group 2
18	"Stamens &plusmn; equal in length, well-exserted beyond petals or all flower parts spreading"	19	Brassicaceae Group 2
18	"Stamens 4 long, 2 short, or in 3 pairs of unequal length"	21	Brassicaceae Group 2
19	Petals yellow to white; filament bases hairy or papillate	Stanleya	Brassicaceae Group 2
19	"Petals white, lavender, or purple; filaments glabrous"	20	Brassicaceae Group 2
20	Fruit &plusmn; sessile on receptacle	Caulanthus	Brassicaceae Group 2
20	Fruit stalked above receptacle	Thelypodium	Brassicaceae Group 2
21	Stamens in 3 pairs of unequal length	22	Brassicaceae Group 2
21	"Stamens 4 long, 2 short"	25	Brassicaceae Group 2
22	Fruit cylindric; seeds wingless	Caulanthus	Brassicaceae Group 2
22	Fruit distinctly to &plusmn; flattened; seeds generally winged at least at tip	23	Brassicaceae Group 2
23	Sepals 4&ndash;8 mm; stems (0.7)1&ndash;8 dm	Streptanthus	Brassicaceae Group 2
23	Sepals 2.8&ndash;3.2 mm; stem 0.5&ndash;2 dm	24	Brassicaceae Group 2
24	Longest stamens with fused filaments and sterile anthers	Sibaropsis	Brassicaceae Group 2
24	Longest stamens with free filaments and fertile anthers	Streptanthella	Brassicaceae Group 2
25	Petals dark-veined	26	Brassicaceae Group 2
25	Petals not dark-veined	29	Brassicaceae Group 2
26	"Perennial herb or subshrub, glabrous; leaves entire or dentate"	Hesperidanthus	Brassicaceae Group 2
26	"Annual, generally hairy; leaves generally pinnately lobed"	27	Brassicaceae Group 2
27	"Fruit corky, indehiscent, lower segment rudimentary, seedless"	Raphanus	Brassicaceae Group 2
27	"Fruit not corky, dehiscent, lower segment well developed, seeded"	28	Brassicaceae Group 2
28	Fruit valve 3-veined; terminal segment (0)1&ndash;6-seeded	Coincya	Brassicaceae Group 2
28	Fruit valve 1-veined; terminal segment seedless	Eruca	Brassicaceae Group 2
29	Cauline leaves entire	30	Brassicaceae Group 2
29	"At least proximal cauline leaves pinnately divided, lobed, wavy, or dentate"	31	Brassicaceae Group 2
30	Biennial or perennial herb with caudex; ovules 28&ndash;90 per ovary	Boechera	Brassicaceae Group 2
30	Perennial herb with rhizomes or tubers; ovules 6&ndash;28 per ovary	Cardamine	Brassicaceae Group 2
31	"Petals white, pink, lavender, or purple"	32	Brassicaceae Group 2
31	Petals generally yellow	36	Brassicaceae Group 2
32	Ovules or seeds (1)2(4)	Cakile	Brassicaceae Group 2
32	Ovules or seeds many	33	Brassicaceae Group 2
33	"Leaf lateral lobes linear to thread-like, entire"	Sibara	Brassicaceae Group 2
33	"Leaf lateral lobes not linear to thread-like, generally dentate"	34	Brassicaceae Group 2
34	At least most distal leaves entire or dentate	Caulanthus	Brassicaceae Group 2
34	"All leaves pinnately lobed, divided or dissected"	35	Brassicaceae Group 2
35	Seeds wingless	Cardamine	Brassicaceae Group 2
35	Seeds winged	Planodes	Brassicaceae Group 2
36	Inflorescence bracted at least below	Erucastrum	Brassicaceae Group 2
36	Inflorescence generally not bracted	37	Brassicaceae Group 2
37	"Ovary, young fruit 2-segmented"	38	Brassicaceae Group 2
37	"Ovary, young fruit unsegmented"	40	Brassicaceae Group 2
38	Sepals generally erect to ascending; fruit valves 1-veined	Brassica	Brassicaceae Group 2
38	Sepals spreading to reflexed; fruit valves 3&ndash;7-veined	39	Brassicaceae Group 2
39	Stigma entire; seeds ovoid	Hirschfeldia	Brassicaceae Group 2
39	Stigma 2-lobed; seeds spheric	Sinapis	Brassicaceae Group 2
40	Stigma entire	Rorippa	Brassicaceae Group 2
40	Stigma 2-lobed	41	Brassicaceae Group 2
41	Seeds in 2 rows; fruit valves 1-veined	Diplotaxis	Brassicaceae Group 2
41	Seeds in 1 row; fruit valves 3-veined	Sisymbrium	Brassicaceae Group 2
1	Inflorescence bracted throughout	Tropidocarpum	Brassicaceae Group 3
1	Inflorescence not bracted or only most proximal few flowers bracted	2	Brassicaceae Group 3
2	Plant scapose; cauline leaves 0	3	Brassicaceae Group 3
2	Plant not scapose; at least 1 cauline leaf present	4	Brassicaceae Group 3
3	Sepals 4--5 mm; petioles of previous year persistent	Anelsonia	Brassicaceae Group 3
3	Sepals 1.5--2.5 mm; petioles of previous year not persistent	Draba	Brassicaceae Group 3
4	"Cauline leaves sessile, basally lobed to sagittate or clasping"	5	Brassicaceae Group 3
4	"Cauline leaves petioled, if sessile not basally lobed, sagittate, or clasping"	10	Brassicaceae Group 3
5	All hairs tree-like	Phoenicaulis	Brassicaceae Group 3
5	"Hairs various, not all tree-like"	6	Brassicaceae Group 3
6	"Hairs stalked, stellate (few simple)"	Arabis	Brassicaceae Group 3
6	"Hairs sessile, or if stalked then not stellate, or a mixture of > 1 type"	7	Brassicaceae Group 3
7	Annual; stigma 2-lobed; petals dark-veined	Caulanthus	Brassicaceae Group 3
7	Biennial or perennial herb; stigma entire; petals not dark-veined	8	Brassicaceae Group 3
8	Petals +- white (pink or purple); young fruit appressed to rachis; plants glaucous distally	Turritis	Brassicaceae Group 3
8	"Petals white, pink, lavender, or purple; young fruit variously oriented (appressed); plants not glaucous distally"	9	Brassicaceae Group 3
9	Fruit flattened	Boechera	Brassicaceae Group 3
9	Fruit cylindric	Transberingia	Brassicaceae Group 3
10	All hairs sessile	Erysimum	Brassicaceae Group 3
10	Hairs simple or stalked and branched	11	Brassicaceae Group 3
11	Stigma 2-lobed	12	Brassicaceae Group 3
11	Stigma entire	14	Brassicaceae Group 3
12	Petals (6.5)8--10(12) mm	Strigosella	Brassicaceae Group 3
12	Petals (13)15--30 mm	13	Brassicaceae Group 3
13	"Sepals 5--8 mm; hairs simple, stalked-forked"	Hesperis	Brassicaceae Group 3
13	Sepals 10--15 mm; hairs many-branched	Matthiola	Brassicaceae Group 3
14	Cauline leaves 1--3-pinnately divided to dissected or comb-like	15	Brassicaceae Group 3
14	"Cauline leaves entire, dentate, wavy (lobed)"	17	Brassicaceae Group 3
15	Petals yellow; hairs many-branched	Descurainia	Brassicaceae Group 3
15	"Petals white to +- purple; hairs generally a mixture of simple, 2-forked, many-branched"	16	Brassicaceae Group 3
16	Perennial herb; leaves rigid	Polyctenium	Brassicaceae Group 3
16	Annual; leaves not rigid	Sibara	Brassicaceae Group 3
17	At least some leaves lobed or wavy	Halimolobos	Brassicaceae Group 3
17	All leaves entire or dentate	18	Brassicaceae Group 3
18	Petals yellow	Draba	Brassicaceae Group 3
18	"Petals white, lavender, pink, or purple."	19	Brassicaceae Group 3
19	Petals (4)5--20 mm; seeds winged	20	Brassicaceae Group 3
19	Petals 2--4(5) mm; seeds wingless	21	Brassicaceae Group 3
