from,statement,to
1,Cras in tortor sollicitudin lorem pulvinar ultricies non hendrerit lectus,2
1,Phasellus id neque a lacus interdum luctus auctor et metus,3
2,Mauris quis nulla ut magna gravida ullamcorper,Item 1
2,"Fusce ac ante viverra, rutrum ex non, eleifend leo",Item 2
3,Cras id enim sit amet turpis commodo consectetur,Item 3
3,Quisque tempor nisl in ipsum auctor malesuada,4
4,In lobortis eros vitae commodo egestas,Item 4
4,Nam a erat ut nunc convallis egestas,5
5,"Nunc vulputate diam sed elit varius, nec efficitur nulla aliquet",Item 5
5,"Sed sollicitudin magna id neque porttitor, id mollis lectus pellentesque",Item 6
5,Fusce tristique elit in diam dapibus rutrum,Item 7
